Biecz,Biecz,Nowy Sącz,Kraków
Bielsk,Bielsk,Płock,Płock
Bielsk Podlaski,Bielsk Podlaski,,Łuck
Błonie,Błonie,Warszawa,Poznań
Bobowa,Bobowa,Nowy Sącz,Kraków
Brańsk,Brańsk,,Łuck
Brodnica,Brodnica,,Chełmno
Brześć Kujawski,Brześć Kujawski,Włocławek,Włocławek
Brzeźnica,Brzeźnica,Uniejów,Gniezno
Bydgoszcz,Bydgoszcz,Kruszwica,Włocławek
Bytom,Bytom,Kraków,Kraków
Chełmno,Chełmno,,Chełmno
Chełmża,Chełmża,,Chełmno
Chodel,Chodel,Lublin,Kraków
Chojnice,Chojnice,Kamień,Gniezno
Ciechanów,Ciechanów,Płock,Płock
Czerwińsk,Czerwińsk,Płock,Płock
Dobczyce,Dobczyce,Kraków,Kraków
Dobrzyń,Dobrzyń,Dobrzyń,Płock
Drohiczyn,Drohiczyn,,Łuck
Dzierzgoń,Dzierzgoń,,Pomezania
Elbląg,Elbląg,,Warmia
Frombork,Frombork,,Warmia
Gąbin,Gąbin,Warszawa,Poznań
Garwolin,Garwolin,Warszawa,Poznań
Gdańsk,Gdańsk,Gdańsk,Włocławek
Gniew,Gniew,Gdańsk,Włocławek
Gniezno - Michał A,Gniezno - św. Michała Archanioła,Gniezno,Gniezno
Gniezno - Piotr i Paweł AAp,Gniezno - w. Piotra i Pawła Apostołów,Gniezno,Gniezno
Gniezno - Św. Trójca,Gniezno - Św. Trójcy,Gniezno,Gniezno
Golub,Golub,,Chełmno
Góra,Góra,Głogów Wielki,Wrocław
Gostynin,Gostynin,Płock,Płock
Grodzisk,Grodzisk,Pszczew,Poznań
Grójec,Grójec,Warszawa,Poznań
Grudziądz,Grudziądz,,Chełmno
Inowrocław,Inowrocław,Kruszwica,Włocławek
Jasło,Jasło,Nowy Sącz,Kraków
Jędrzejów,Jędrzejów,Kraków,Kraków
Kalisz,Kalisz,Kalisz,Gniezno
Kalisz-Wałcz,Kalisz-Wałcz,Poznań,Poznań
Kazimierz,Kazimierz,Lublin,Kraków
Kije,Kije,Kraków,Kraków
Kłodawa,Kłodawa,Łęczyca,Gniezno
Kobylin,Kobylin,Kalisz,Gniezno
Konin,Konin,Gniezno,Gniezno
Kościan,Kościan,Śrem,Poznań
Kraków,Kraków,Kraków,Kraków
Kruszwica,Kruszwica,Kruszwica,Włocławek
Kutno,Kutno,Łęczyca,Gniezno
Łasin,Łasin,,Chełmno
Łęczyca,Łęczyca,Łęczyca,Gniezno
Łekno,Łekno,Gniezno,Gniezno
Lelów,Lelów,Kraków,Kraków
Lidzbark,Lidzbark,,Chełmno
