Bednarka (prawosławna)
Bednarka (prawosławna)
Bielczarowa (prawosławna)
Grabie (prawosławna)
Hanczowa (prawosławna)
Krempna (prawosławna)
Krępna (prawosławna)
Łabowa (prawosławna)
Łosie (prawosławna)
Męcina (prawosławna)
Miscowa (prawosławna)
Mszana (prawosławna)
Pątna (prawosławna)
Pielgrzymka (prawosławna)
Ropica (prawosławna)
Rozdziele (prawosławna)
Rychwałd (prawosławna)
Szlachtowa (prawosławna)
Świętkowa (prawosławna)
Trzciana (prawosławna)
Tylowa (prawosławna)
Uście (prawosławna)
Zdynia (prawosławna)
Zyndranowa (prawosławna)
Barwinek (prawosławna)
Królowa Wołoska (prawosławna)
